,2010,,,,,,,,,,,2015,,,,,,,,
Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Sum,"49,601,144.32","81,553,992.71","81,989,587.10",830035.6111,"461,983.03",100912.8024,"2,388,539.47",N/A - no model,"1,728,561.57",,Sum,"40,095,338.00","55,757,351.77","64,947,015.82",685784.8747,"436,282.02",95936.22469,"1,906,408.98",990179.8621,"1,228,774.02"
Afghanistan,"424,662.00","203,229.00","24,041.45",12940.66993,227.23,213.5335883,0,,0,,Afghanistan,"199,258.79","277,055.27","10,752.55",15161.43194,266.75,238.2489251,0,0,0
Albania,"2,210.93",3.62,"2,035.05",1.558569169,0,0,0,,0,,Albania,373.97,0,98.5,0.967039267,0,0,0,0,0
Algeria,"100,018.00",9.12,"48,627.20",157.1119406,0.38,1.574885998,"5,615.93",,0,,Algeria,"57,181.59",242.21,"11,586.04",140.4627138,0.43,1.57519915,"5,620.39",0,0
American Samoa,,,0,0,0,0,0,,121.68,,American Samoa,29.19,0.83,28.52,0,0,0,0,0,141.12
Andorra,28.58,0.06,0,0,0,0,0,,0,,Andorra,9.15,0,83.37,0,0,0,0,0,0
Angola,"282,554.00","4,207.70","664,303.09","13,881","5,387.66",672.17,"28,347.68",,"21,679.42",,Angola,"301,773.79","1,272,263.88","648,951.40",6997.931384,"6,115.16",798.49,"27,389.73",6916.408272,"25,930.45"
Anguilla,,,0,0,0,0,0,,0,,Anguilla,n/a,,0,0,0,0,0,0,0
Antigua and Barbuda,35.14,0.07,398.28,0.053041643,0,0,19.5,,0,,Antigua and Barbuda,24.15,0,413.85,0.045311702,0,0,21.36,0,0
Argentina,"35,133.00",37.79,"90,351.03",203.1106771,733.32,1.44,0,,0,,Argentina,"19,493.82",216.76,"78,326.48",188.1991316,728.15,1.41535999,0,0,0
Armenia,"6,661.82",1,"6,542.66",1.215634343,0.08,0,0,,0,,Armenia,"4,161.80",0,776.95,0.927757931,0.07,0,0,0,0
Aruba,,,0,0,0,0,0,,0,,Aruba,n/a,,0,0,0,0,0,0,0
Australia,"2,280.60",80.38,"8,155.93",0,0,0,0,,0,,Australia,"1,285.61",0,"4,843.38",0,0,0,0,0,0
Austria,"1,806.32",2.24,"3,843.56",0,0,0,0,,0,,Austria,"1,079.62",0,"2,459.37",0,0,0,0,0,0
Azerbaijan,"36,243.90",12.16,"7,728.93",29.03688956,0.09,0,0,,0,,Azerbaijan,"32,612.43",72.21,"5,023.64",16.1500191,0.1,0,0,0,0
Bahamas,257.69,0.5,0,0.149592894,0,0,0,,0,,Bahamas,300.48,0,0,0.139148316,0,0,0,0,0
Bahrain,"1,121.14",0.6,"3,566.45",0,0.01,0,0,,0,,Bahrain,462.12,0,"1,010.22",0,0.01,0,0,0,0
Bangladesh,"1,207,620.00","191,646.00","11,816.73","57,552","38,272.09","10,803.15",0,,"126,079.52",,Bangladesh,"673,373.93","139,506.79","14,639.53",44607.83106,"31,693.03","9,654.97",0,0,"7,650.30"
Barbados,78.89,0.31,"2,047.09",0,0,0,0,,0,,Barbados,78.7,0,"1,147.37",0,0,0,0,0,0
Belarus,"32,962.20",25.42,"12,746.90",0,0,0,0,,0,,Belarus,"16,549.66",0,"25,579.96",0,0,0,0,0,0
Belgium,"2,794.83",4.52,"5,265.51",0,0,0,0,,0,,Belgium,"1,461.48",0,"2,967.75",0,0,0,0,0,0
Belize,544.3,106.88,"9,661.12",12.16393171,8.74,0.097535722,0,,0,,Belize,570.9,8.67,"4,908.08",9.248326236,3.95,0.057169049,0,0,0
Benin,"76,239.00","987,357.00","150,467.33","3,214",660.14,0.446316397,"43,694.77",,"8,714.86",,Benin,"103,073.22","722,666.65","138,371.07",2577.391464,735.5,0.500849687,"33,972.10",474.4782528,"5,880.00"
Bermuda,,,0,0,0,0,0,,0,,Bermuda,6.79,0.32,423.29,0,0,0,0,0,0
Bhutan,"4,924.34",785.32,"1,764.96",79.5270733,8.65,0.292235873,0,,0,,Bhutan,"5,800.96","1,484.21",925.74,36.5382519,8.23,0.269856984,0,0,0
Bolivia,"65,783.80","1,609.15","60,819.68",633.1769212,"1,756.42",34.52,0,,0,,Bolivia,"27,236.55",281,"4,443.14",403.2128883,"1,738.41",35.64197823,0,0,0
"Bonaire, Saint Eustatius and Saba",,,0,0,0,0,0,,0,,"Bonaire, Saint Eustatius and Saba",n/a,,0,0,0,0,0,0,0
Bosnia and Herzegovina,"5,630.79",3.59,"2,391.06",0,0,0,0,,0,,Bosnia and Herzegovina,"3,091.94",0,140.67,0,0,0,0,0,0
Botswana,"18,661.80","10,480.60","232,000.80",20.87166338,477.99,95.55003057,"2,846.63",,0,,Botswana,"66,391.78","2,975.20","456,310.92",16.80165262,482.54,99.09855018,"3,433.19",0,0
Brazil,"270,727.00","15,091.60","993,330.08","7,233","8,169.70","2,550.35","125,760.32",,218.14,,Brazil,"199,785.91","9,660.21","956,427.18",6464.547927,"7,328.54","2,392.95","103,557.75",22.17371411,15.3
British Virgin Islands,,,0,0,0,0,0,,0,,British Virgin Islands,28.53,,0,0,0,0,0,0,0
Brunei Darussalam,610.92,0.09,216.34,0,0,0,0,,37.8,,Brunei Darussalam,385.51,6,0,0.229588639,0,0,0,0,0
Bulgaria,"8,693.79",6.02,"9,668.97",0,0,0,0,,0,,Bulgaria,"3,094.98",0,"2,598.95",0,0,0,0,0,0
Burkina Faso,"177,180.00","3,425,380.00","368,232.28","6,753","1,321.85",0.216311197,"35,396.83",,"32,307.82",,Burkina Faso,"244,454.57","2,542,834.98","188,047.49",5973.602298,"1,398.84",0.225641484,"12,651.96",0,"13,668.63"
Burundi,"374,071.00","1,014,600.00","553,394.08",3166.150393,"3,822.89",183.32,"20,327.81",,0,,Burundi,"208,308.01","393,113.07","215,208.10",3478.412189,"3,637.23",173.4467906,"13,946.29",10860.3099,0
Cambodia,"181,934.00","108,689.00","82,054.13",418.015568,193.04,0,"12,310.55",,454.22,,Cambodia,"106,895.30","68,272.19","126,973.45",175.723492,35.06,0,"7,722.73",0,"1,245.34"
Cameroon,"165,351.00","1,776,360.00","1,548,028.75","28,368","4,496.09","2,018.99","56,096.64",,"30,613.69",,Cameroon,"124,294.51","1,663,995.81","1,816,622.70",20966.75995,"3,404.07",1506.685865,"33,185.39",78728.2862,"24,311.92"
Canada,"4,034.36",115.87,"32,963.31",0,0,0,0,,0,,Canada,"2,223.52",0,"16,383.16",0,0,0,0,0,0
Cape Verde,"1,566.99","3,119.09","5,962.26",0.63868755,1,0.002127015,0,,0,,Cape Verde,783.14,,"5,084.10",0.374509568,0.81,0.001774596,0,0,0
Cayman Islands,,,0,0,0,0,0,,0,,Cayman Islands,n/a,,0,0,0,0,0,0,0
Central African Republic,"143,960.00","512,419.00","488,382.99","6,696","2,210.69",39.11102625,"4,638.14",,"9,351.99",,Central African Republic,"153,724.23","447,772.63","440,786.14",6181.542382,"2,330.83",41.21938472,"3,989.95",21207.74832,"10,171.40"
Chad,"184,497.00","941,398.00","482,579.84","6,257","4,191.14",0.22,"25,886.26",,"12,226.84",,Chad,"160,775.99","804,552.82","513,923.70",5990.097776,"5,076.74",0.25,"31,018.12",11683.5267,"14,699.60"
Chile,"14,689.90",5.02,"31,277.63",318.1461119,0.16,11.89118386,0,,0,,Chile,"11,206.66",0,"21,904.02",307.5891518,0.1,11.20935444,0,0,0
China,"1,732,860.00","11,717.30","1,751,701.14",9505.753354,"34,728.69","2,068.43","48,561.28",,0,,China,"1,838,248.90","10,615.08","1,911,023.90",6527.337569,"29,513.24","1,900.39","24,057.89",0,0
"China, Hong Kong SAR",,,0,0,0,0,0,,0,,"China, Hong Kong SAR",n/a,,0,0,0,0,0,0,0
"China, Macao SAR",,,0,0,0,0,0,,0,,"China, Macao SAR",n/a,,0,0,0,0,0,0,0
Colombia,"51,304.60","4,189.72","479,459.81",6238.627484,"5,780.50","1,850.17",0,,0,,Colombia,"26,552.00","3,985.96","117,655.14",5753.445417,"5,003.05",1764.110853,0,0,0
Comoros,"10,215.30","34,835.70",14.26,161,201.38,163.46,0,,"1,067.22",,Comoros,"8,092.16","3,596.80","1,012.44",126.9528916,219.61,176.9004306,0,0,"1,132.08"
Congo,"57,706.70","291,255.00","244,565.50","2,189","1,195.77",652.1417452,"10,593.68",,"7,843.01",,Congo,"34,570.34","197,674.64","272,654.24",1989.426863,"1,340.81",753.577242,"9,332.81",1475.191709,"3,770.31"
Cook Islands,,,0,0,0,0,0,,0,,Cook Islands,n/a,,0,0,0,0,0,0,0
Costa Rica,"2,497.33",2.92,"8,818.84",191.8261096,313.82,24.41444908,0,,0,,Costa Rica,"1,329.56",19.73,"7,391.42",174.6690886,324.51,23.08128608,0,0,0
Cote dlvoire,"260,347.00","2,301,580.00","1,200,273.54","8,394","6,287.90",307.09,"81,732.88",,"29,017.49",,Cote dlvoire,"195,999.00","2,288,468.27",0,9605.244933,"6,646.48",336.9041021,"70,711.53",0,"32,980.45"
Croatia,"3,537.04",3.51,977.07,0,0,0,0,,0,,Croatia,"1,432.68",0,297.4,0,0,0,0,0,0
Cuba,"3,287.24",8.48,"21,117.20",615.3558149,906.1,24.32082786,0,,0,,Cuba,"1,082.96",0,"15,983.05",575.5052955,876.12,22.90482605,0,0,0
CuraASao,,,0,0,0,0,0,,0,,CuraASao,n/a,,0,0,0,0,0,0,0
Cyprus,120.5,0.35,587.52,0,0,0,0,,0,,Cyprus,83.04,0,159.93,0,0,0,0,0,0
Czech Republic,"2,795.68",9.36,982.03,0,0,0,0,,0,,Czech Republic,"1,166.53",0,704.5,0,0,0,0,0,0
Democratic People's Republic of Korea,"173,864.00",31.99,"9,291.26",824.0167369,0.31,0.000301158,0,,0,,Democratic People's Republic of Korea,"68,452.40",,0,599.1462106,0.31,0.00021494,0,0,0
Democratic Republic of the Congo,"1,754,630.00","8,244,140.00","2,734,090.23","70,453","21,890.34","3,999.05","180,088.94",,"23,384.44",,Democratic Republic of the Congo,"1,317,715.38","5,791,643.04","2,026,782.60",69476.70638,"25,519.33","4,679.57","191,509.66",475864.947,"25,394.71"
Denmark,"1,032.16",1.7,"2,848.64",0,0,0,0,,0,,Denmark,604.68,0,"1,596.09",0,0,0,0,0,0
Djibouti,"11,210.80","12,312.80","53,315.59",54.31060751,45.99,62.85519993,414.08,,0,,Djibouti,"10,618.18",226.67,"20,695.52",36.45346902,40.35,63.37609518,372.41,0,0
Dominica,77.66,0.06,363.23,0.132548697,0.01,0,0,,0,,Dominica,102.46,0,300.99,0.108092513,0.01,0,0,0,0
Dominican Republic,"20,860.60",751.81,"99,618.31",24,0.19,0,"1,264.22",,409.81,,Dominican Republic,"18,409.54",408.51,"96,429.67",19.00319422,0.14,0,"1,311.97",0.00E+00,126.9
Ecuador,"37,794.20","1,660.47","82,083.07",2328.776263,372.67,1516.623008,0,,0,,Ecuador,"28,730.09","1,131.20","37,273.01",2045.973925,255.1,1418.556745,0,1.87E-78,0
Egypt,"83,146.50",20.95,"20,930.84",431,"1,662.96",1.2,"149,394.87",,516.64,,Egypt,"32,375.35",590.54,"11,122.53",412.4451701,"1,728.35",1.267066353,"41,739.08",0,530.64
El Salvador,"5,037.55",6.96,"30,221.68",55.60502718,313.94,12.61,0,,0,,El Salvador,"3,186.40",59.75,"25,209.13",33.80594879,118.34,6.00026288,0,0,0
Equatorial Guinea,"6,351.64","56,109.00","65,337.20",448,161.95,120.33,557.02,,"1,121.40",,Equatorial Guinea,"5,186.64","77,418.85","45,351.99",390.8746933,176.91,136.6282391,606.81,1315.428545,"1,203.04"
Eritrea,"114,905.00","208,190.00","92,497.79",673,112.91,34.04097298,"4,339.34",,165.94,,Eritrea,"89,069.50","29,160.55","47,710.57",501.7601426,117.12,38.50947586,"4,152.54",0,190.77
Estonia,"1,796.60",4.33,"13,431.33",0.022111103,0,0,0,,0,,Estonia,933.25,0,"1,867.79",0.013233626,0,0,0,0,0
Ethiopia,"1,754,220.00","2,609,710.00","1,317,544.95","29,161","14,732.71","4,618.16","220,079.40",,"1,086.30",,Ethiopia,"1,748,128.53","184,456.15","1,639,891.30",16941.282,"14,800.46","4,966.08","210,340.92",25148.53082,"1,168.19"
Fiji,"1,891.82",27.3,"1,127.68",123,253.47,20.39368393,0,,"1,215.90",,Fiji,"1,259.62",0,"1,165.81",120.2181063,244.26,20.76759299,0,0,106.91
Finland,"1,475.37",1.69,"1,224.48",0,0,0,0,,0,,Finland,828.06,0,395.1,0,0,0,0,0,0
France,"20,139.70",18,"48,908.14",0,0,0,12.86,,0,,France,"12,755.58",0,"26,183.84",0,0,0,0,0,0
French Polynesia,,,0,0,0,0,0,,0,,French Polynesia,n/a,,0,0,0,0,0,0,0
Gabon,"14,463.70","78,300.70","117,337.90",713,363.55,302.1405787,"3,066.48",,"1,205.01",,Gabon,"8,014.08","43,948.34","62,694.72",649.6749228,391.82,329.4623751,"3,248.37",0,"1,390.99"
Gambia,"15,474.83","77,000.00","46,858.82",160,103.46,0.179177578,"5,378.47",,"2,142.64",,Gambia,"11,902.91","13,814.31",0,115.860504,117.03,0.209358459,"6,158.44",0,"2,245.69"
Georgia,"13,817.90",5.7,"5,819.66",0.004199053,0.04,0,0,,0,,Georgia,"8,158.26",0,"1,693.77",0.004106029,0.02,0,0,0,0
Germany,"14,916.60",27.25,"29,224.36",0,0,0,0,,0,,Germany,"7,519.56",0,"21,436.78",0,0,0,0,0.00E+00,0
Ghana,"154,629.00","1,548,960.00","886,553.78","2,896","1,243.12",2.922644844,"50,239.32",,"21,374.72",,Ghana,"149,645.17","1,057,846.69","619,574.50",2041.572805,"1,315.35",3.256400808,"35,732.44",1.37E-78,"4,746.40"
Greece,"2,564.03",4.3,"26,674.08",0,0,0,0,,0,,Greece,"2,494.48",0,934.74,0,0,0,0,0,0
Grenada,64,,85.58,0,0,0,0,,0,,Grenada,,0,89.53,0,0,0,0,0,0
Greenland,90,0.09,563.8,1.260601389,15.43,0.02,0,,0,,Greenland,49.62,0,511.35,1.220099208,14.27,0.019697303,0,0,0
Guam,,,0,0.881588456,0.02,0,0,,0,,Guam,136.51,3.94,205.42,0.845118858,0.02,0,0,0.00E+00,0
Guatemala,"48,853.10","2,860.28","93,800.38",2141.968267,"6,243.79","1,195.70",0,,0,,Guatemala,"13,192.05","1,659.51","38,238.00",1462.403104,"4,222.19",947.24,0,6.78E-78,0
Guinea,"133,856.00","1,455,480.00","202,797.91","12,001","4,138.20",104.24,"32,894.73",,"11,755.47",,Guinea,"136,504.28","1,404,493.52","283,675.07",9740.310186,"4,548.57",116.5495061,"34,495.22",0,"13,042.72"
Guinea-Bissau,"26,857.80","261,426.00","40,326.78","1,341",352.1,1.511350993,"4,383.07",,"3,323.93",,Guinea-Bissau,"27,186.95","59,099.82","98,609.14",805.2869299,234.48,1.070815356,"4,254.52",0,"3,516.80"
Guyana,"3,352.02",676.83,"20,299.35",36,23.32,4.248550137,0,,"1,570.13",,Guyana,"2,448.82",478.2,"22,713.27",25.88682417,18.6,3.301106162,0,0,"1,468.05"
Haiti,"182,214.00","45,104.60","113,862.81","1,250",213.14,11.33125779,0,,"32,396.97",,Haiti,"32,566.06","4,915.54","356,824.29",654.8637549,142.57,7.03416372,0,0,"26,164.68"
Honduras,"15,566.70","1,109.86","70,453.58",932.7505557,255.66,916.08,0,,0,,Honduras,"13,572.36",540.58,"30,779.65",796.4806088,237.72,820.7379063,0,0,0
Hungary,"7,416.23",7.93,"7,907.77",0,0,0,0,,0,,Hungary,"1,734.94",0,"1,748.93",0,0,0,0,0,0
Iceland,55.76,0.1,385.09,0,0,0,0,,0,,Iceland,33.32,0,60.81,0,0,0,0,0,0
India,"15,546,900.00","2,562,790.00","9,265,136.14","120,209","99,815.25","9,750.03",0,,"410,851.80",,India,"16,505,150.17","3,766,703.30","6,823,203.00",97460.99221,"95,300.57","9,685.03",0,0,"236,171.44"
Indonesia,"5,843,680.00","754,550.00","650,612.47","29,753","11,341.64","1,605.43",673.28,,"248,934.97",,Indonesia,"3,222,698.35","222,702.65","933,303.21",21359.33233,"11,781.95","1,493.39",390.35,0,"157,189.17"
Iran,"60,518.80",290.87,"114,605.33",143.1623696,126.86,0.001506948,270.18,,0,,Iran,"48,813.94",586.16,"26,412.30",123.7521103,128.88,0.001517254,261.06,0,0
Iraq,"61,338.50",46.8,461.89,75.20052396,1.36,0.01,"4,938.40",,0,,Iraq,"53,652.63",0,"6,002.31",66.03204646,1.41,0.016205081,"5,667.60",0,0
Ireland,"1,063.26",1.74,"1,721.95",0,0,0,0,,0,,Ireland,626.97,0,664.85,0,0,0,0,0,0
Israel,"1,184.35",3.35,"3,246.13",0,0,0,0,,0,,Israel,583.05,0,"1,917.36",0,0,0,0,0,0
Italy,"12,100.20",15.02,"55,268.90",0,0,0,0,,0,,Italy,"7,488.89",0,"35,146.02",0,0,0,0,0,0
Jamaica,814.09,2.32,"57,496.15",410.7464507,148.15,154.6013459,0,,0,,Jamaica,573.28,0,"18,149.01",371.0984782,127.04,121.0477371,0,0,0
Japan,"96,562.60",9.94,"6,731.32",0,0,0,52.42,,0,,Japan,"43,968.90",0,"6,480.23",0,0,0,0,0,0
Jordan,"2,557.98",1.85,"1,269.46",322.0785372,75.69,4.475095804,185.53,,0,,Jordan,719.41,0,604.56,364.3196623,82.15,4.829167981,198.6,0,0
Kazakhstan,"129,006.00",4.84,"33,760.68",1344.504716,0.22,0,0,,0,,Kazakhstan,"70,968.68",0,"17,870.28",1566.027408,0.22,0,0,0,0
Kenya,"494,163.00","1,600,800.00","3,000,991.03","3,129","2,588.72",148.19,"63,380.62",,778.43,,Kenya,"308,735.55","486,089.31","3,104,198.30",2214.033751,"2,709.38",162.0286853,"66,579.20",0,"1,031.31"
Kiribati,"1,194.49",2.79,196.03,1,9.68,0.801489737,0,,0,,Kiribati,"1,591.95",0.2,28.23,0.699942947,8.99,0.826236896,0,0,0
Kuwait,"2,795.38",2.72,"2,745.53",0,0,0,0,,0,,Kuwait,787.84,0,347.86,0,0,0,0,0,0
Kyrgyzstan,"36,448.60",9.3,"38,870.40",637.8226917,0.06,0,0,,0,,Kyrgyzstan,"23,701.98",0,"13,953.08",706.1706375,0.08,0,0,0,0
Lao People's Democratic Republic,"85,173.50","40,270.10","13,863.14","5,461",764.66,447.7950516,"2,469.84",,276.75,,Lao People's Democratic Republic,"29,552.90","7,190.20",0,3795.803377,636.39,384.6859676,"1,027.82",0,202.41
Latvia,"4,608.25",6.48,"18,655.29",0.079445482,0,0,0,,0,,Latvia,"1,832.47",0,"5,393.94",0.042793398,0,0,0,0,0
