,2010,,,,,,,,,,,2015,,,,,,,,
Lebanon,"3,456.19",1.06,"8,523.74",0.384122496,0.03,0,1.21,,0,,Lebanon,"1,658.79",0,"4,061.85",0.308849592,0.04,0,1.34,0,0
Lesotho,"93,970.30",10.36,"680,409.75",200.9844172,498.38,970.6069282,0,,0,,Lesotho,"100,270.16",0,"733,974.30",167.1104071,484,951.8439585,0,0,0
Liberia,"94,919.50","540,045.00","116,742.79","2,384","1,793.12",128.4674823,"12,686.83",,"12,070.71",,Liberia,"80,129.98","183,213.42","116,441.79",1702.913681,"1,925.62",144.0723604,"12,442.74",46920.28004,"9,118.63"
Libya,"7,939.99",1.78,"7,215.40",16.70787138,0.08,1.6105664,"7,596.24",,0,,Libya,"3,187.76",0,"5,486.98",12.20179514,0.05,1.425892119,"7,117.37",0,0
Lithuania,"10,654.50",6.8,"3,537.85",0.120913318,0,0,0,,0,,Lithuania,"6,368.63",0,"3,008.23",0.101994502,0,0,0,0,0
Luxembourg,90.23,1.27,332.9,0,0,0,0,,0,,Luxembourg,36.02,0,138.65,0,0,0,0,0,0
Madagascar,"180,999.00","787,324.00","202,962.27","26,982","3,344.83","6,803.09","39,064.34",,"24,192.62",,Madagascar,"181,093.78","350,206.87","226,513.31",23120.53205,"2,401.74",5025.614699,"34,675.48",0,"23,686.45"
Malawi,"271,772.00","1,146,980.00","2,631,089.16","3,061","1,095.58",9.35203974,"33,590.26",,"22,763.33",,Malawi,"178,154.49","941,730.20","1,723,555.30",1875.135278,809.69,6.904722925,"19,398.97",4332.198064,"20,685.54"
Malaysia,"61,132.60","16,741.70","235,735.32","7,033","5,389.45",767.99,0,,113.74,,Malaysia,"40,762.00","15,124.12","103,087.57",6611.96705,"5,381.50",635.112166,0,0,95.55
Maldives,447.81,2.56,102.02,0.105334503,0,0,0,,0,,Maldives,224.04,0,52.3,0.061134508,0,0,0,0,17.08
Mali,"179,698.00","3,225,830.00","333,827.16","3,184","2,376.89",0.12,"34,798.01",,"37,387.63",,Mali,"122,511.81","3,070,282.60","386,669.70",2444.527372,"1,838.14",0.096500977,"15,616.48",0,"33,671.89"
Malta,85.22,0.13,142.58,0,0,0,0,,0,,Malta,23.98,0,93.87,0,0,0,0,0,0
Marshall Islands,573.39,1.99,0,1.428319691,22.98,0.365605957,0,,0,,Marshall Islands,114.12,0,171,1.164214256,23.54,0.38595568,0,0,18.73
Mauritania,"34,758.80","108,355.00","52,504.73",114.1847808,97.14,2.39,"6,803.15",,83.4,,Mauritania,"21,300.07","28,498.84","18,990.26",75.95752216,106.9,2.585092468,"6,625.89",0,99.57
Mauritius,538.52,9.83,"23,976.07",0.575718273,0.01,0,"1,152.40",,0,,Mauritius,446.22,7.43,"3,872.09",0.417530098,0.01,0,"1,239.71",0.00E+00,0
Mexico,"130,755.00",113.41,"253,760.01",5390.868746,26.95,6442.944467,0,,0,,Mexico,"84,919.09",787.54,"258,597.16",4861.653972,21.16,6187.739069,0,2.62E-78,0
Micronesia (Federated States of),785.2,4.14,0,23,10.84,0.422888554,0,,25.07,,Micronesia (Federated States of),144.51,0,0,20.44030621,8.75,0.387800291,0,0,88.1
Monaco,,,0,0,0,0,0,,0,,Monaco,n/a,,0,0,0,0,0,0,0
Mongolia,"25,608.40",0.96,"1,066.07",0,0.04,0,0,,0,,Mongolia,"15,676.90",0,160.29,0,0.05,0,0,0,0
Montenegro,294.89,0.53,93.67,0.158742939,0,0,0,,0,,Montenegro,128.98,0,61.82,0.103310044,0,0,0,0,0
Montserrat,,,0,0,0,0,0,,0,,Montserrat,n/a,,0,0,0,0,0,0,0
Morocco,"218,892.00",8.93,"77,078.49",433.4294395,0.29,64.47330557,"2,864.39",,0,,Morocco,"100,874.46",211.11,"17,375.66",394.628627,0.38,64.22845181,"3,094.02",0,0
Mozambique,"540,212.00","3,360,590.00","3,853,078.93","19,064","8,255.43","8,104.03","25,749.72",,"44,335.17",,Mozambique,"418,851.84","1,920,110.91","4,241,733.00",13949.63437,"9,230.20","9,246.75","22,149.90",0,"40,563.24"
Myanmar,"1,122,430.00","1,225,710.00","1,098,668.52","7,745",806.53,"3,786.04",0,,"73,183.63",,Myanmar,"689,465.79","406,350.21","393,499.72",3622.679528,355.73,1935.990668,0,0,"49,376.19"
Namibia,"42,917.10","24,977.40","260,588.37",18.10367195,478.56,5.75,"1,522.84",,0,,Namibia,"49,547.11","13,514.22","297,031.57",11.57187236,488.45,6.219685022,"1,767.74",0,0
Nauru,,,0,0,0,0,0,,0,,Nauru,n/a,,0,0,0,0,0,0,0
Nepal,"359,659.00","30,423.00","217,743.66","2,940","12,245.97","1,639.81",0,,"30,099.50",,Nepal,"382,212.17","33,467.78","90,026.45",2169.725337,"10,309.67","1,485.40",0,0,"20,282.79"
Netherlands,"3,059.27",5.52,"5,205.16",0,0,0,0,,0,,Netherlands,"1,246.20",0,"3,232.71",0,0,0,0,0,0
New Caledonia,,,0,0,0,0,0,,0,,New Caledonia,n/a,,0,0,0,0,0,0,0
New Zealand,656.17,20.38,910.06,0,0,0,0,,0,,New Zealand,352.79,0,628.4,0,0,0,0,0,0
Nicaragua,"14,090.80","1,712.03","4,338.15",196.8222931,11.05,40.46398123,0,,0,,Nicaragua,"6,239.57",191.94,"9,753.16",123.1713437,4.51,20.80020441,0,0,0
Niger,"277,628.00","2,053,540.00","181,019.31","4,012",530.24,0.004127479,"22,823.28",,"11,209.69",,Niger,"277,211.31","2,314,368.12","195,978.98",3437.695836,460.79,0.003271842,"11,114.48",0,"9,138.53"
Nigeria,"1,936,960.00","25,052,500.00","9,011,591.94","155,150","19,915.90",453.2,"367,922.87",,"242,127.33",,Nigeria,"685,247.35","15,922,533.94","7,887,547.00",139394.3909,"20,879.11",524.82,"323,098.18",169547.9682,"268,479.47"
Niue,,,0,0,0,0,0,,0,,Niue,n/a,,0,0,0,0,0,0,0
Northern Mariana Islands,,,0,0,0.03,0,0,,0,,Northern Mariana Islands,60.73,1.36,69.21,0,0.01,0,0,0,0
Norway,796.24,2.07,"1,232.36",0,0,0,0,,0,,Norway,530.89,0,699.33,0,0,0,0,0,0
Oman,"2,517.47",2.4,991.88,1.13502098,0.04,0,71.8,,0,,Oman,"1,227.82",27.28,"3,404.10",0.953972742,0.04,0.000143122,118.3,0,0
Pakistan,"2,452,820.00","214,312.00","202,141.18",17918.63009,"1,416.22",28.09287039,0,,0,,Pakistan,"1,916,576.61","498,832.45","78,120.91",17297.71745,"1,499.93",29.74384549,0,0,0
Palau,,,0,0,0,0,0,,0,,Palau,n/a,,0,0,0,0,0,0,0
Panama,"7,909.73",785.05,"43,933.63",111.8549799,0.06,0,0,,0,,Panama,"6,877.91",124.12,"23,247.42",100.0857803,0.03,0,0,0,0
Papua New Guinea,"126,224.00","120,896.00","88,385.90","5,160","8,647.61",0,0,,"15,916.26",,Papua New Guinea,"16,773.17","84,051.83","43,382.94",4267.093997,"9,086.96",0,0,0,"18,126.77"
Paraguay,"12,487.90",6.66,"24,682.45",189.6332683,349.21,5.946739835,0,,0,,Paraguay,"8,590.16",47.45,"17,659.28",155.6884514,329.81,5.42459349,0,0,0
Peru,"108,016.00","1,272.50","130,900.63",1134.68973,170.82,992.8585677,0,,0,,Peru,"68,785.89",760.96,"42,538.90",923.5120203,148.12,846.6680796,0,0,0
Philippines,"1,234,630.00","49,318.90","19,334.20","19,358","21,034.26","5,563.23","61,667.62",,"55,452.14",,Philippines,"788,657.93","58,122.34","219,807.38",14378.41935,"15,371.56","5,262.91","48,808.00",0,"27,725.50"
Poland,"32,492.70",31.86,"12,075.66",0.82791604,0,0,0,,0,,Poland,"16,350.80",0,"7,167.19",0.560069274,0,0,0,0,0
Portugal,"9,060.94",3.25,"42,759.25",0,0,0,0,,0,,Portugal,"4,850.43",0,"31,209.44",0,0,0,0,0,0
Puerto Rico,,,0,0,0,0,157.55,,0,,Puerto Rico,525.68,20.24,"12,713.40",0,0,0,136.89,0,0
Qatar,"1,562.81",207.74,952.15,0,0.01,0,0,,0,,Qatar,436.77,0,346.51,0,0.01,0,0,0,0
Republic of Korea,"112,688.00",27.66,"21,670.53",0,0.52,8.09E-05,0,,"12,680.19",,Republic of Korea,"126,259.24",,0,0,0.42,5.83E-05,0,0,0
Republic of Moldova,"23,158.90",14.11,"30,637.56",0.387991364,0,0,0,,0,,Republic of Moldova,"8,356.69",,0,0.267870502,0,0,0,0,0
Romania,"75,582.20",18.02,"32,849.87",2.461023425,0,0,0,,0,,Romania,"36,094.39",0,"5,167.92",1.571121616,0,0,0,0,0
Russia,"920,069.00",447.09,"2,371,549.56",0,0,0,0,,0,,Russia,"429,515.03",0,"988,825.31",0,0,0,0,0,0
Rwanda,"170,525.00","627,201.00","286,721.59",5131.191703,"4,180.69",640.54,"11,511.82",,0,,Rwanda,"115,255.01","106,307.32","275,603.83",4144.157691,"4,416.71",708.8356305,"9,597.34",0,0
Saint Kitts and Nevis,,,0,0,0,0,0,,0,,Saint Kitts and Nevis,n/a,,0,0,0,0,0,0,0
Saint Lucia,265.75,0.15,926.53,5.467884933,19.59,1.586601093,28.68,,0,,Saint Lucia,189.93,0,439.96,5.062746158,16.5,1.451945615,29.56,0,0
Saint Vincent and the Grenadines,86.99,0.09,"1,263.82",1.337430157,13.08,0.018483475,0,,0,,Saint Vincent and the Grenadines,100.15,0,944.46,1.208610001,12.72,0.016643584,0,0,0
Samoa,320.66,6.23,0,2,3.88,0,0,,163.31,,Samoa,158.38,0,407.23,1.294321661,3.25,0.002703234,0,0,69.61
San Marino,,,0,0,0,0,0,,0,,San Marino,n/a,,0,0,0,0,0,0,0
Sao Tome and Principe,538.57,"7,591.82","2,539.09",73,36.79,27.91758527,195.55,,422.07,,Sao Tome and Principe,729.77,536.87,22.98,69.38246904,40.11,30.56440229,167.58,0,490.66
Saudi Arabia,"36,217.90",865.9,"9,142.05",75.00583141,526.89,0.061419092,479.31,,0,,Saudi Arabia,"21,038.31",539.29,"24,373.23",55.72194961,505.05,0.058321422,455.55,0,0
Senegal,"136,810.00","653,870.00","121,913.56","1,367",492.16,60.22092027,"43,189.85",,"8,577.34",,Senegal,"240,187.81","198,052.44","134,448.76",1038.810396,551.82,67.59603548,"25,251.23",0,"11,737.89"
Serbia,"6,458.95",11.35,"17,720.16",0.821585732,0,0,0,,0,,Serbia,"4,058.85",0,"2,238.16",0.570804976,0,0,0,0,0
Seychelles,104.98,0.88,448.11,3.848325233,16.76,18.64,0,,0,,Seychelles,46.26,0,257.17,3.974880012,14.91,19.78398335,0,0,0
Sierra Leone,"104,261.00","675,786.00","131,187.27","7,354","2,033.50",254.4701995,"5,659.54",,"7,020.29",,Sierra Leone,"66,897.49","715,744.93","152,842.72",5598.896237,"1,552.07",201.0528646,"2,453.68",18440.32555,"5,675.03"
Singapore,"2,957.43",0.67,"3,081.39",0,0,0,0,,0,,Singapore,"1,298.56",0.65,650.56,0,0,0,0,0,0
Sint Maarten (Dutch part),,,0,0,0,0,0,,0,,Sint Maarten (Dutch part),n/a,,0,0,0,0,0,0,0
Slovakia,"1,978.40",4.37,373.65,0.275249237,0,0,0,,0,,Slovakia,929.04,0,266.52,0.237959956,0,0,0,0,0
Slovenia,776.19,1.62,546.84,0,0,0,0,,0,,Slovenia,337.12,0,83,0,0,0,0,0,0
Solomon Islands,"6,545.37","5,496.89",0,38.9021243,296.56,43.54576639,0,,0,,Solomon Islands,"2,004.43","2,052.99","1,302.39",30.52567496,315.44,47.27373453,0,0,0
Somalia,"256,355.00","951,236.00","265,788.34",2630.345607,"3,998.80","1,291.29","17,559.74",,0,,Somalia,"314,280.48","257,481.10","92,811.29",2422.174501,"3,997.66",1435.711746,"18,368.48",0,0
South Africa,"874,640.00","17,351.80","11,915,616.10",2145.775885,"11,859.50","7,421.23","45,344.39",,0,,South Africa,"1,056,034.58","12,561.44","9,101,345.00",1924.636767,"10,321.03","6,983.27","45,477.27",0,0
South Sudan,"240,531.00","286,556.96","551,177.50",7659.263235,"1,423.15",4.169833655,"16,228.15",,"2,485.45",,South Sudan,,"452,098.07","485,667.69",7254.365928,"1,636.36",5.004374235,"19,648.92",80684.35292,"2,726.64"
Spain,"17,589.60",12.04,"56,242.71",0,0,0,0,,0,,Spain,"7,405.74",0,"44,345.05",0,0,0,0,0,0
Sri Lanka,"49,596.00","2,410.07","9,506.09",368.865406,874.86,142.53,0,,"8,991.06",,Sri Lanka,"21,040.53",441.38,"2,672.64",289.9313227,791.46,141.2614569,0,0,"2,409.41"
Sudan,"276,907.00","1,145,640.00","886,973.37","1,592","3,957.42",12.89455811,"21,047.66",,"2,341.43",,Sudan,"74,711.48","232,364.09","221,104.87",1156.280644,"3,990.22",13.67593386,"17,967.31",0,"2,690.53"
Suriname,515.03,552.17,"14,823.65",6.307616558,32.34,2.67E-05,481.89,,0,,Suriname,291.61,104.75,"6,288.28",4.850728356,24.19,2.36E-05,514.27,0,0
Swaziland,"29,996.00","1,000.00","361,429.70",180.4750077,797.88,291.2504273,958.73,,0,,Swaziland,"36,436.06",27.78,"352,656.93",157.8623476,850.89,294.7812523,900.2,0,0
Sweden,482,0,"1,943.24",0,0,0,0,,0,,Sweden,942.97,0,"1,205.82",0,0,0,0,0,0
Switzerland,276.19,0,"6,754.44",0,0,0,0,,0,,Switzerland,571.73,0,"2,685.55",0,0,0,0,0,0
Syrian Arab Republic,"24,010.69",0,"4,022.46",1054.597919,265.93,15.06201776,"2,903.13",,0,,Syrian Arab Republic,"2,689.91",,0,938.2458096,243.9,13.07507785,"2,493.58",0,0
Tajikistan,"39,001.40",804.16,"28,213.89",64.05492565,0.05,0.000347131,0,,0,,Tajikistan,"24,116.09",320.51,"8,972.27",97.80399465,613.28,0.002246279,0,0,0
Tanzania,"523,767.00","3,216,420.00","4,674,416.77","24,581","18,925.22","1,290.56","153,080.51",,"44,776.04",,Tanzania,"443,307.12","1,207,401.55","2,700,468.60",16714.33426,"21,309.26","1,519.32","105,738.58",16194.25731,"39,128.88"
Thailand,"312,853.48","24,000.00","1,123,299.96",482,"5,598.78",11.62,0,,69.72,,Thailand,"169,798.70","18,980.17","618,690.50",306.8088777,"4,720.86",10.24502013,0,0,62.56
The Former Yugoslav Republic of Macedonia,"2,181.19",1.82,"2,404.59",0.230424365,0,0,0,,0,,The Former Yugoslav Republic of Macedonia,"1,405.01",,0,0.254955043,0,0,0,0,0
Timor-Leste,,,0,184,69.22,8.400260257,0,,"3,513.91",,Timor-Leste,"4,735.57",832.75,"3,324.53",130.6135165,71.93,8.782623858,0,0,"3,509.89"
Togo,"130,915.46","327,000.00","290,545.08",2028.695403,358.88,0.14502811,"29,847.55",,768.26,,Togo,"57,768.57","554,840.29","333,705.77",1327.402073,384.91,0.164986211,"9,284.20",161.7585959,815.08
Tokelau,,,0,0,0,0,0,,0,,Tokelau,n/a,,0,0,0,0,0,0,0
Tonga,198.33,3.48,0,0.772967333,6.47,0.108221271,0,,55.72,,Tonga,53.1,0,70.98,0.607761431,6.18,0.104359559,0,0,58.27
Trinidad and Tobago,"1,011.19",1.84,"29,330.21",3.074866857,5.18,0.037707335,0,,0,,Trinidad and Tobago,561.94,0,"10,906.39",2.465366718,4.6,0.036450802,0,0,0
Tunisia,"10,746.20",2.71,"32,140.27",32.79828676,0.22,0.547706711,576.62,,0,,Tunisia,"9,777.73",0,"4,388.28",29.17407362,0.21,0.524220717,621.88,0,0
Turkey,"96,182.50",70.7,"6,757.62",160.6176922,1.49,17.851282,446.83,,0,,Turkey,"30,014.75",348.2,"9,611.37",123.9530414,0.82,18.08671991,497.12,0,0
Turkmenistan,"29,262.80",1.59,"22,889.27",23.92039391,0.11,0,0,,0,,Turkmenistan,"15,905.67",0.14,"17,007.76",17.30946263,0.1,0,0,0,0
Turks and Caicos Islands,,,0,0,0,0,0,,0,,Turks and Caicos Islands,n/a,,0,0,0,0,0,0,0
Tuvalu,,,0,0,0,0,0,,0,,Tuvalu,n/a,,0,0,0,0,0,0,0
Uganda,"725,727.00","2,399,530.00","2,868,066.03","11,787","7,734.53",145.51,"116,555.03",,"19,248.43",,Uganda,"363,030.66","1,362,612.03","2,135,621.70",9611.411163,"6,139.55",120.8436629,"92,719.60",19585.90768,"14,340.91"
Ukraine,"283,678.00",195.69,"1,044,023.08",0,0,0,0,,0,,Ukraine,"156,693.37",0,"372,178.14",0,0,0,0,0,0
United Arab Emirates,"2,455.32",12.71,"12,128.99",0.702050989,0.08,0,0,,0,,United Arab Emirates,"3,063.64",105.18,"13,202.44",0.665546444,0.1,0,0,0,0
United Kingdom of Great Britain and Northern Ireland,"17,054.90",17.93,"22,207.52",0,0,0,0,,0,,United Kingdom of Great Britain and Northern Ireland,"7,765.66",,0,0,0,0,0,0,0
United States,"39,159.94",817.95,"587,494.16",0,0,0,0,,0,,United States,"19,788.20",0,"360,805.20",0,0,0,0,0,0
Uruguay,"2,562.44",0.93,"8,368.80",0.762542601,0,0,0,,0,,Uruguay,"1,182.26",0,"7,386.93",0.541120459,0,0,0,0,0
US Virgin Islands,,,0,0,0,0,0,,0,,US Virgin Islands,28.53,0.52,0,0,0,0,0,0,0
Uzbekistan,"157,641.00",43.93,"78,135.51",8.786748413,0.36,0,0,,0,,Uzbekistan,"88,479.84",0,"25,773.32",6.600754105,0.35,0,0,0,0
Vanuatu,"2,118.71",474.54,0,98.30868966,122.45,15.83233296,0,,216.23,,Vanuatu,732.21,880.28,616.85,93.71290508,129.63,17.46841195,0,0,52.2
Venezuela,"32,536.30","1,023.35","277,018.19",2793.234676,"1,514.78","3,412.06","4,884.60",,0,,Venezuela,"19,112.76","1,615.84","101,078.99",2681.531206,"1,337.97",3381.45569,"5,171.97",615.7842723,0
Viet Nam,"473,572.00","63,901.40","618,321.79",5394.903603,"6,634.97",795.59,0,,"1,389.13",,Viet Nam,"418,468.39","43,601.09",0,3066.251556,"2,976.92",456.56,0,0,"1,481.12"
Wallis and Futuna Islands,,,0,0,0,0,0,,0,,Wallis and Futuna Islands,n/a,,0,0,0,0,0,0,0
West Bank and Gaza Strip,,,0,0,0,0,0,,0,,West Bank and Gaza Strip,n/a,,0,0,0,0,0,0,0
Yemen,"176,224.00","298,580.00","8,210.10","1,808",524.96,19.01270357,"17,085.50",,51.06,,Yemen,"69,390.44","28,000.66","8,187.55",1875.160127,557.05,20.88137278,"7,752.94",0,46.81
Zambia,"264,642.00","1,197,510.00","1,831,768.06","5,029","6,986.77",21.46,"30,006.68",,"4,527.77",,Zambia,"157,893.06","600,752.76","2,027,191.30",3274.952605,"7,724.20",24.5,"28,814.77",0,"4,749.27"
Zimbabwe,"340,933.00","282,571.00","2,332,784.33","1,267","5,424.55","2,385.49","26,083.21",,58.98,,Zimbabwe,"270,596.05","109,649.73","2,526,567.30",851.9205133,"5,924.16","2,663.08","16,419.26",0,67.51
